Id,Label,Count
莫声谷,莫声谷,118
张松溪,张松溪,168
空闻,空闻,139
圆音,圆音,51
圆业,圆业,33
圆心,圆心,14
殷姑娘,殷姑娘,85
殷素素,殷素素,550
常金鹏,常金鹏,67
过三拳,过三拳,14
麦少帮主,麦少帮主,14
白龟寿,白龟寿,66
高则成,高则成,25
蒋涛,蒋涛,24
殷教主,殷教主,22
谢逊,谢逊,1038
元广波,元广波,9
麦鲸,麦鲸,19
空智,空智,147
空性,空性,88
殷天正,殷天正,196
白熊,白熊,28
张夫人,张夫人,47
空见,空见,84
成昆,成昆,217
空见神僧,空见神僧,31
狮王,狮王,10
张无忌,张无忌,4665
程坛主,程坛主,10
封坛主,封坛主,11
殷堂主,殷堂主,2
殷野王,殷野王,74
西华子,西华子,101
卫四娘,卫四娘,18
静虚师太,静虚师太,9
唐文亮,唐文亮,40
史火龙,史火龙,90
贺老三,贺老三,13
阳教主,阳教主,94
郭女侠,郭女侠,15
黄帮主,黄帮主,72
铁琴先生,铁琴先生,18
何太冲,何太冲,246
灭绝师太,灭绝师太,431
泉建男,泉建男,19
纪姑娘,纪姑娘,12
殷六侠,殷六侠,30
孟正鸿,孟正鸿,10
本因,本因,92
祁天彪,祁天彪,29
云鹤,云鹤,16
宫九佳,宫九佳,10
殷无福,殷无福,22
殷无禄,殷无禄,22
殷无寿,殷无寿,12
班淑娴,班淑娴,102
静玄师太,静玄师太,12
纪晓芙,纪晓芙,228
贝锦仪,贝锦仪,20
张四侠,张四侠,7
宗维侠,宗维侠,51
常敬之,常敬之,21
常遇春,常遇春,191
芷若,芷若,99
周芷若,周芷若,825
胡青牛,胡青牛,271
姑姑,姑姑,509
丁敏君,丁敏君,163
彭莹玉,彭莹玉,105
纪女侠,纪女侠,6
鲜于通,鲜于通,70
简捷,简捷,65
曾柔,曾柔,67
杨不悔,杨不悔,190
无忌哥哥,无忌哥哥,57
薛公远,薛公远,47
金花婆婆,金花婆婆,343
王难姑,王难姑,38
胡夫人,胡夫人,14
阿离,阿离,23
吊死鬼,吊死鬼,19
杨逍,杨逍,514
灭绝老尼,灭绝老尼,11
徐达,徐达,87
吴良,吴良,6
吴祯,吴祯,3
花云,花云,9
朱元璋,朱元璋,97
汤和,汤和,20
邓愈,邓愈,15
苏习之,苏习之,27
詹春,詹春,54
五姑,五姑,40
乔福,乔福,20
小凤,小凤,15
朱九真,朱九真,141
朱子柳,朱子柳,205
武青婴,武青婴,51
武三通,武三通,243
武敦儒,武敦儒,130
洪七公,洪七公,1229
卫璧,卫璧,67
朱长龄,朱长龄,192
姚清泉,姚清泉,32
武烈,武烈,44
阿牛哥,阿牛哥,28
老贼尼,老贼尼,17
苏梦清,苏梦清,4
阳顶天,阳顶天,52
韦一笑,韦一笑,264
宋青书,宋青书,270
庄铮,庄铮,8
吴劲草,吴劲草,38
韦蝠王,韦蝠王,28
铁冠道人,铁冠道人,47
周颠,周颠,264
